from_stop_id,to_stop_id,transfer_type,min_transfer_time
1051,4114,2,300
1051,6277,2,300
1051,6278,2,300
1051,982,2,300
1051,983,2,300
1053,1054,2,333
1053,4113,2,300
1053,4921,2,332
1053,5979,2,329
1053,979,2,408
1053,980,2,300
1053,981,2,300
1054,1053,2,333
1054,1055,2,300
1054,4113,2,300
1054,4921,2,300
1054,5979,2,300
1054,979,2,300
1054,980,2,300
1054,981,2,319
1055,1054,2,300
1055,1056,2,300
1055,485,2,300
1055,486,2,353
1055,608,2,362
1055,609,2,300
1055,978,2,300
1055,979,2,300
1055,980,2,377
1056,1055,2,300
1056,4113,2,554
1056,484,2,402
1056,485,2,300
1056,486,2,310
1056,608,2,343
1056,609,2,300
1056,610,2,431
1056,978,2,300
1056,979,2,344
1057,1058,2,373
1057,4528,2,306
1057,5877,2,300
1057,6310,2,300
1057,977,2,300
1058,1059,2,300
1058,1060,2,345
1058,4521,2,300
1058,484,2,557
1058,5877,2,300
1058,974,2,319
1059,1058,2,300
1059,1060,2,300
1059,4521,2,300
1059,5877,2,300
1059,974,2,300
1060,1058,2,345
1060,1059,2,300
1060,1061,2,300
1060,4202,2,427
1060,4521,2,300
1060,5877,2,410
1060,686,2,307
1060,687,2,413
1060,815,2,311
1060,973,2,300
1060,974,2,300
1061,1060,2,300
1061,1062,2,300
1061,686,2,416
1061,815,2,419
1061,816,2,409
1061,972,2,300
1061,973,2,300
1061,974,2,300
1062,1061,2,300
1062,1063,2,300
1062,685,2,368
1062,686,2,382
1062,815,2,385
1062,816,2,349
1062,971,2,300
1062,972,2,300
1062,973,2,300
1063,1062,2,300
1063,1064,2,300
1063,970,2,300
1063,971,2,300
1063,972,2,300
1064,1063,2,300
1064,1065,2,300
1064,970,2,300
1064,971,2,300
1065,1064,2,300
1065,970,2,300
1066,1067,2,300
1066,2424,2,300
1066,2425,2,384
1066,2468,2,381
1066,2469,2,300
1066,968,2,300
1067,1066,2,300
1067,1068,2,300
1067,2424,2,300
1067,2425,2,300
1067,2468,2,300
1067,2469,2,300
1067,4587,2,315
1067,968,2,300
1067,969,2,300
1068,1067,2,300
1068,1069,2,300
1068,2424,2,300
1068,2425,2,409
1068,2468,2,378
