stop_id,at_street,corner_placement,heading,location_type,on_street,parent_station,stop_code,stop_desc,stop_lat,stop_lon,stop_name,stop_position,stop_timezone,stop_url,wheelchair_boarding,zone_id
847,Calles,NE,282,0,7Th,,847,002700 7Th & Calles,30.260665,-97.711521,2700 7th/Calles,N,,https://www.capmetro.org/stopdetail/index.php?stop=847,0,
848,Pedernales,NE,279,0,7Th,,848,002500 7Th & Pedernales,30.260963,-97.71356,2500 7th/Pedernales,N,,https://www.capmetro.org/stopdetail/index.php?stop=848,0,
863,San Jacinto,SW,107,0,11Th,,863,000200 11Th & San Jacinto,30.271881,-97.738253,11th/San Jacinto SW Corner,N,,https://www.capmetro.org/stopdetail/index.php?stop=863,0,
864,12Th,SE,16,0,Trinity,,864,001117 Trinity & 12Th,30.272709,-97.73715,Trinity/12th,N,,https://www.capmetro.org/stopdetail/index.php?stop=864,0,
866,17Th,NE,16,0,Trinity,,866,001700 Trinity & 17Th,30.277788,-97.735271,Trinity/17th,F,,https://www.capmetro.org/stopdetail/index.php?stop=866,0,
870,Comal,SE,78,0,Martin Luther King,,870,001509 Martin Luther King & Comal,30.279074,-97.724701,1509 Martin Luther King/Comal,F,,https://www.capmetro.org/stopdetail/index.php?stop=870,0,
872,Chicon,SW,79,0,Martin Luther King,,872,001813 Martin Luther King & Chicon,30.279695,-97.721372,1813 Martin Luther King/Chicon,N,,https://www.capmetro.org/stopdetail/index.php?stop=872,0,
873,Ferdinand,SE,80,0,Martin Luther King,,873,002207 Martin Luther King & Ferdinand,30.28023,-97.718137,2207 Martin Luther King/Ferdinand,F,,https://www.capmetro.org/stopdetail/index.php?stop=873,0,
874,Maple,SE,80,0,Martin Luther King,,874,002401 Martin Luther King & Maple,30.280586,-97.715949,2401 Martin Luther King/Maple,F,,https://www.capmetro.org/stopdetail/index.php?stop=874,0,
875,Walnut,SW,79,0,Martin Luther King,,875,002615 Martin Luther King & Walnut,30.280972,-97.713458,2615 Martin Luther King/Walnut,N,,https://www.capmetro.org/stopdetail/index.php?stop=875,0,
877,Clifford,SW,77,0,Martin Luther King,,877,002915 Martin Luther King & Clifford,30.281869,-97.707799,2915 Martin Luther King/Clifford,N,,https://www.capmetro.org/stopdetail/index.php?stop=877,0,
880,Greenwood,SE,80,0,Martin Luther King,,880,003431 Martin Luther King & Greenwood,30.283318,-97.698197,3431 Martin Luther King/Greenwood,F,,https://www.capmetro.org/stopdetail/index.php?stop=880,0,
881,E M Franklin,SE,79,0,Martin Luther King,,881,003601 Martin Luther King & E M Franklin,30.283699,-97.695712,3601 Martin Luther King/EM Franklin,F,,https://www.capmetro.org/stopdetail/index.php?stop=881,0,
882,Perez,SW,80,0,Martin Luther King,,882,003815 Martin Luther King & Perez,30.284091,-97.693161,3815 Martin Luther King/Perez,N,,https://www.capmetro.org/stopdetail/index.php?stop=882,0,
886,Springdale,SW,81,0,Martin Luther King,,886,004500 Martin Luther King & Springdale,30.28569,-97.68292,Martin Luther King/Springdale,N,,https://www.capmetro.org/stopdetail/index.php?stop=886,0,
898,Springdale,NE,263,0,Martin Luther King,,898,004600 Martin Luther King & Springdale,30.285994,-97.682246,4600 Martin Luther King/Springdale,N,,https://www.capmetro.org/stopdetail/index.php?stop=898,0,
902,Perez,NE,259,0,Martin Luther King,,902,003900 Martin Luther King & Perez,30.284342,-97.692951,3900 Martin Luther King/Perez,N,,https://www.capmetro.org/stopdetail/index.php?stop=902,0,
